abb	abban
alsőbbrendű	alsóbbrendű
aludnyi	aludni
aludott	aludt
aludtejet	aludttejet
aludtejjel	aludttejjel
aludttével	aludttejjel
aludtá	aludtál
alugyál	aludj
alugyék	aludjon
alula	alóla
alunna	aludna
alunnyi	aludni
alunnál	aludnál
alunní	aludni
alutt	aludt
aluttejet	aludttejet
aluva	alva
aluvóra	alvásra
alább-alább	alább
alájja	alája
alásan	alássan
alídt	aludt
alólla	alóla
alóra	alulra
alúl	alól
amaz	amaz
ameddég	ameddig
amejjik	amelyik
amelik	amelyik
amellik	amelyik
amelliket	amelyiket
amelliknek	amelyiknek
amelyikek	amelyikek
amelyiké	amelyik
ament	áment
amibűl	amiből
amig	amíg
amihelyt	mihelyt
amijek	amijük
amijök	amijük
amikó	amikor
amiközben	miközben
amily	amilyen
amilyenöket	amilyeneket
amind	amint
aminn	amin
aminyőt	amilyet
aminő	amilyen
aminők	amilyenek
aminőkről	amilyenekről
aminőt	amilyet
amirő	amiről
amive	amivel
amivő	amivel
amiér	amiért
ammit	amit
ammód	azonmód
amost	most
amottan	amott
amro-tól	amrótól
amég	amíg
amék	amelyik
amér	amiért
amére	amerre
amért	amiért
amëllik	amelyik
amëllike	amelyik
amëlliket	amelyiket
amëly	amely
amík	amik
amíkben	amikben
amölik	amelyik
amölyik	amelyik
amörre	amerre
amőre	amerre
andersen	Andersen
andás	andrás
angyalokot	angyalokat
angyaláva	angyalával
ann	annak
anna	annak
annakis	annak
anni	adni
annya	anya
annyifelé	annyiféle
annyij	annyi
annyiér	annyiért
annyábul	anyjából
annyának	anyjának
annyát	anyját
annyátú	anyjától
annyáébul	anyjáéból
anná	annál
anyaszűlt	anyaszült
anyaszűt	anyaszült
anyiból	annyiból
anyjok	anyjuk
anyjokat	anyjukat
anyjábó	anyjából
anyjáho	anyjához
anyjáhol	anyjához
anyjátu	anyától
anyjátúl	anyjától
anynyokkom	anyukám
anynyokom	anyukám
anyukánkého	anyukánkéhoz
anyámasszon	anyámasszony
anyámot	anyámat
anyámtul	anyámtól
anyámékot	anyámékat
anyátul	anyától
anyókátúl	anyókától
anyóssa	anyósa
anyúsághoz	anyóshoz
anám	anyám
apjok	apjuk
apjokat	apjukat
apjokból	apjukból
apjokhoz	apjukhoz
apjoknak	apjuknak
apjoktól	apjuktól
apjá	apja
apjáho	apjához
apjátul	apjától
apjátó	apjától
appartmanházakat	apartmanház
aprajára	apraja
apraó	apró
apritani	aprítani
apránkint	apránként
apródonkint	apródonként
aptya	apja
apádot	apádat
apádtól4	apádtól
apádtúl	apádtól
apámtúl	apámtól
apóssa	apósa
arannyaim	aranyaim
arannyat	aranyat
arany-mérlegen	aranymérlegen
arany-szarvassal	aranyszarvassal
aranybetűkvel	aranybetűkkel
aranybló	aranyból
aranybúl	aranyból
aranyguzsalyat	aranyguzsalyt
aranygyürü	aranygyűrű
aranykulacsbó	aranykulacsból
aranykönyű	aranykönny
aranykönyűk	aranykönnyek
aranymíves	aranyműves
aranymíveseit	aranyműveseit
aranymíveshez	aranyműveshez
aranymívesit	aranyművesét
aranymívesnek	aranyművesnek
aranymívessel	aranyművessel
aranymívest	aranyművest
aranyossak	aranyosak
aranypínzt	aranypénzt
aranyrudatt	aranyrudat
aranyrózsáírt	aranyrózsáért
aranyszörü	aranyszőrű
aranyszürűmre	aranyszőrűmre
aranyszőrü	aranyszőrű
aranyval	arannyal
aranyónk	aranyunk
aranyónkot	aranyunkat
arckípit	arcképét
arcodrú	arcodról
arcu	arcú
arcunkot	arcunkat
arcza	arca
arcáho	arcához
arkangyaltokat	arkangyalotokat
arramegyen	megy
arrló	arról
arrul	arról
arráb	arrább
arrâ	arra
arró	arról
arrúl	arról
arthur	arthur
artus	arthur
arányvárból	aranyvárból
arú	arról
assony	asszony
asszonnak	asszonynak
asszonoykat	asszonyokat
asszont	asszonyt
asszontúl	asszonytól
asszony	asszony
asszony-ember	asszonyember
asszonyokot	asszonyokat
asszonyró	asszonyról
asszonytul	asszonytól
asszonyval	asszonnyal
asszuonnak	asszonynak
asz-szony	asszony
aszmondja	mondja
aszongy	mond
asztalhó	asztalhoz
asztaó	asztaltól
asztaólaó	asztaltól
asztaóra	asztalra
asztrologusok	asztrológusok
asztán	aztán
athatja	áthatja
attak	adtak
attaó	attól
attok	adtok
attul	attól
atták	adták
attúl	attól
atyjokat	atyjukat
atyjokhoz	atyjukhoz
aunye	ejnye
aval	avval
avtozaz-nak	avtozaz-nak
avva	avval
avvâ	avval
az-az	az
az-e	az
azalat	azalatt
azaóta	azóta
azelott	azelőtt
azoka	azok
azokbó	azokból
azokot	azokat
azonba	azonban
azonn	azon
azonnalt	azonnal
azontul	azontúl
azs	az
aztat	azt
aztá	aztán
azut'a	azután
azzonnal	azonnal
azáltál	azáltal
azátn	aztán
azér	azért
azét	azért
azétt	azért
azër	azért
azír	azért
azírt	azért
azótától	azóta
azúta	azóta
azútán	azután
aódalt	oldalt
aómár	már
aútvart	ótvart
bableves-csárdába	bablevescsárda
baden-württenberg	baden-württemberg
bajbúl	bajból
bajik	bajuk
bajombul	bajomból
bajucca	bajusza
bajuccán	bajuszán
bajukot	bajukat
bajuszombó	bajuszomból
bajuszábó	bajuszából
bajítsál	hajítsál
bajúk	bajuk
baktért	baktert
balrul	balról
balró	balról
balsó	bal
bamk	bank
bangalore	bangalor
bangaloréban	bangalorban
barlangjokba	barlangjukba
barátim	barátaim
barátomot	barátomat
barátságosan	barátságosan
baráttságot	barátságot
bassánál	basánál
beborittyák	beborítják
bebujjon	bebújjon
bebujni	bebújni
bebujt	bebújt
bebúj	bebújik
becsaptá	becsaptál
becsüje	becsűje
beeresztyitek	beeresztitek
befejeszte	befejezte
befelyezte	befejez
beföcskendeznél	befecskendeznél
befödelezi	befedelezi
befödte	befedte
befödték	befedték
befőttekír	befőttekért
befűtöttëk	befűtöttek
begre	bögre
begrének	bögrének
begrét	bögrét
begrével	bögrével
begyugom	bedugom
begyugta	bedugta
begyugták	bedugták
begyönnek	bejönnek
begyött	bejött
begyünni	bejönni
begyütt	bejött
begyüttek	bejöttek
begyüttem	bejöttem
begyüvök	bejövök
behatnyi	behatni
behintettík	behintették
behivatta	behívat
behivatták	behívatták
behuzza	behúzza
behítta	behívta
behítták	behívták
behúntam	behunytam
behúnyta	behunyta
behúnyva	behunyva
bejéd	beléd
bejő	bejön
bejű	bejön
bekajáltott	bekiáltott
bekajáltotta	bekiáltotta
bekeccsit	bekecsét
bekiáltonak	bekiáltanak
bekiátok	bekiáltok
bekiátott	bekiáltott
bekukkantanyi	bekukkantani
bekukkint	bekukkant
bekukkintani	bekukkantani
bekukkintott	bekukkantott
bekukucskát	bekukucskált
bekötte	bekötötte
bekötték	bekötötték
bekűdte	beküldta
belaharap	beleharap
belaktaónk	belaktunk
bele-ront	beleront
belebujsz	belebújsz
belebutt	belebújt
belebújtá	belebújtál
belebútt	belebújt
belecsubban	belecsobban
beleegyez	+
beleegyezttek	beleegyeztek
beleegyezött	belegyezett
belefogódzanak	belefogódznak
belegyeztek	beleegyeztek
belegyütt	belejött
belehajitja	belehajítja
belehanyigált	belehajigált
belehuzódott	belehúzódott
belehömbörgette	belehőbrögte
belemeritett	belemerített
belenyul	belenyúl
belepisász	belepisálsz
beletörődenyi	beletörődni
belevákta	belevágta
beleőlem	belőlem
beleőlë	belőle
belit	belét
bella-flor	Bella-Flór
belle-flór	bella-flór
belole	belőle
beléfujt	beléfújt
beléfújt	belefújt
beléfútt	beléfújt
beléhajítanni	beléhajítani
belényugodott	belenyugodott
belényől	belenő
belépök	belépek
belépött	belépett
belésuppant	belésuppan
belétett	beletett
belétette	beletette
belétettík	belétették
belétövélek	beleteszlek
beléülnek	beleülnek
beléűlök	beléülök
beléűnek	beléülnek
belë	bele
belëbolondoltam	belebolondultam
belëszeret	beleszeret
belëtësznek	beletesznek
belíp	belép
belöl	belül
belölle	belőle
belü	belű
belüle	belőle
belülle	belőle
belülrűl	belülről
belőjjek	belőjek
belől	belül
belőlle	belőle
belőlled	belőled
belőllem	belőlem
belőllik	belőlük
belőlë	belőle
belőlök	belőlük
belőrő	belülről
belűle	belőle
belűlle	belőle
belűlled	belőled
bemegyen	bemegy
bemenek	bemegyek
bemeneküt	bemenekült
bemennyi	bemenni
bemenyen	bemegy
bemén	bemegy
bemënek	bemegyek
bemëntem	bementem
bemönt	bement
bennek	bennük
bennt	benn
bennë	benne
bennök	bennük
bennünköt	bennünket
bennőtöket	benneteket
bensejében	bensejében
bentmaradt	bennmaradt
bentragadt	bennragadt
bentrő	bentről
benyitani	benyitni
benyuló	benyúló
benyőtte	benőtte
benzin-	benzin
benëzni	benézni
bepörli	bepereli
bereteszőte	bereteszelte
beretválj	borotválj
berugatta	berúgatta
berugok	berúgok
beruiházásokat	beruházásokat
berëm	bőröm
besetétedik	besötétedik
besuvadott	besuvadt
beszaladott	beszaladt
beszalatt	beszaladt
beszalattam	beszaladtam
beszegődöl	beszegődsz
beszeégess	beszélgess
beszeétek	beszéltek
beszillő	beszélő
beszédit	beszédét
beszédjiket	beszédjüket
beszédjikre	beszédjükre
beszédjire	beszédére
beszédjit	beszédét
beszédjöket	beszédjüket
beszédömöt	beszédemet
beszégetett	beszélgetett
beszégettek	beszélgettek
beszégettünk	beszélgettünk
beszégetünk	beszélgetünk
beszéjenek	beszéljenek
beszéllett	beszélt
beszélli	beszéli
beszélnyi	beszélni
beszének	beszélnek
beszényi	beszélni
beszét	beszélt
beszétek	beszéltek
beszéték	beszélték
beszëli	beszéli
beszëlni	beszélni
beszíd	beszéd
beszídet	beszédet
beszídre	beszédre
beszígetés	beszélgetés
beszíl	beszél
beszílek	beszélek
beszílgessenek	beszélgessenek
beszílgessünk	beszélgessünk
beszílgetni	beszélgetni
beszílgetnőnk	beszélgetnénk
beszílgettek	beszélgettek
beszílgetés	beszélgetés
beszílgetís	beszélgetés
beszílhetek	beszélhetek
beszíljen	beszéljen
beszíljetek	beszéljetek
beszílni	beszélni
beszílt	beszélt
beszílte	beszélte
beszínyi	beszélni
beszíttam	beszívtam
beszödés	beszedés
beszúg	besúg
besél	beszél
beséljen	beszéljen
besötátedett	besötétedett
betegsiéget	betegséget
betegöket	betegeket
beteljesedék	beteljesedik
beteljesűl	beteljesül
beteritik	beterítik
bethlehem	betlehem
betoppint	betoppant
betyárbarlangbló	betyárbarlangból
betérnyi	betérni
betévő	betevő
betönni	betenni
betőtötte	betöltötte
bevarják	bevarrják
bevartak	bevarrtak
bevezetette	bevezettette
bevinnyi	bevinni
beváltya	beváltja
bevétel-	bevétel
bezon	bizony
bezony	bizony
beállana	beállna
beállani	beállni
beállanék	beállnék
beütte	beütötte
beőröm	bőröm
beűnek	beülnek
bijony	bizony
bir	bír
biraóho	bíróhoz
birja	bírja
birkaé	birkáért
birkábó	birkából
birkáinkot	birkáinkat
birkájai	birkái
birkákot	birkákat
birkákval	birkákkal
birkózniok	birkózniuk
birni	bírni
birnának	bírnának
birom	bírom
birta	bírta
birtak	bírtak
birtuk	bírtuk
birták	bírták
birunk	bírunk
biró	bíró
biróhoz	bíróhoz
bitosat	biztosat
biza	bizony
bizben	vízben
bizon	bizony
bizonkodott	bizonykodott
bizonyittsa	bizonyítsa
bizonyossan	bizonyosan
bizonyúltak	bizonyultak
bizotság	bizottság
biztosonn	biztosan
bizza	bízza
bocsádd	bocsásd
bodakot	bodagot
boglyoson	boglyosan
boglyábúl	boglyából
bogy	hogy
bogáccsábá	pogácsába
bogáccsát	pogácsát
bokorbúl	bokorból
bolbára	bolhára
boldog-asszony	boldogasszony
boldogann	boldogan
boldogságjok	boldogságuk
boldogulnyi	boldogulni
bolgott	bolygott
bolgótűz	bolygótűz
bolháho	bolhához
bolháta	bolhát
bolog	bolyong
bolondozzonak	bolondozzanak
bolondulnyi	bolondulni
bolondúl	bolondul
bombócba	gombócba
bonya	banya
bonyához	banyához
bonyát	banyát
borgyut	borjút
borgyút	borjút
borhanyagos	porhanyós
borigatták	borogatták
borija	borítja
boritja	borítja
boritják	borítják
borju	borjú
borjuból	borjúból
borjubőr	borjúbőr
borjubőrben	borjúbőrben
borjunak	borjúnak
borjut	borjút
borjutartó	borjútartó
borjúzik	borjazik
borjúztassa	borjaztassa
bornya	borja
bornyazik	borjadzik
bornyut	borjút
bornyát	borját
bornyúzott	borjazott
bornyúztatta-e	borjaztatta
borozda	barázda
borozdában	barázdában
borsod-asbaúj-zemplán	borsod-abaúj-zemplén
bortúl	bortól
borzalmasan	borzalmas
borér	borért
bosszus	bosszús
bosszusága	bosszúsága
bosszuságtól	bosszúságtól
bosszújábúl	bosszújából
bosszúlja	bosszulja
bossóval	borsóval
boszorkánságának	boszorkányságának
boszorkánságát	boszorkányságát
boszorkány-embör	boszorkány-ember
boszorkányjait	boszorkányait
boszórkán	boszorkány
bosánat	bocsánat
botocskámÍ	botocskám
botomval	botommal
bottak	botnak
botty	bot
bougues-nél	bouygues-nél
bubos	búbos
bucsut	búcsút
bucsuzkodnak	búcsúzkodnak
bucsuzott	búcsúzott
budapesten	budapesten
bujik	bújik
bujj	bújj
bujjék	bújjék
bujni	bújni
buját-baját	búját-baját
bukkik	bukik
bukkott	bukott
bukor	bokor
bukorbó	bokorból
bukrok	bokrok
bukrot	bokrot
burogatni	borogatni
buslakodik	búslakodik
busulj	búsulj
busulnak	búsulnak
busulni	búsulni
butor	bútor
buza	búza
buzug	buzog
buzába	búzába
buzában	búzában
buzán	búzán
buzát	búzát
buzával	búzával
bácskárú	bácskáról
bámészkodol	bámészkodsz
bánatja	bánata
bánatjokat	bánatukat
bánatjába	bánatába
bánatjában	bánatában
bánatjának	bánatának
bánatónk	bánatunk
báncsa	bántsa
báncsátok	bántsátok
bántalmaztá	bántalmaztál
bántlak	bántalak
bántsonak	bántsanak
bármiből	bármi
bármifíle	bármiféle
báránhús	bárányhús
báránkáim	báránykáim
báránt	bárányt
bárányokot	bárányokat
báttya	bátyja
báttyának	bátyjának
bátyjáho	bátyjához
bátyádbúl	bátyádból
bátyámnok	bátyámnak
bátyámtul	bátyámtól
bé	be
bébujik	bebújik
bébújnak	bebújnak
bébújsz	bebújsz
bébújtatá	bebújtatja
bébúttak	bebújtak
bécsapott	becsapott
bécsapták	becsapták
bécsapódjék	becsapódjon
bécsukják	becsukják
bédobják	bedobják
bédugja	bedugja
bédugott	bedugott
bédugó	bedugó
bédőlt	bedőlt
bédőt	bedőlt
béengedik	beengedik
béengedlek	beengedlek
béengedni	beengedni
béeresztlek	beeresztelek
béesteledett	beesteledett
béfagyott	befagyott
béfaló	befaló
béfekszik	befekszik
béfogatott	befogatott
béfogja	befogja
béfogta	befogta
béfogtak	befogtak
béfut	befut
béfutott	befutott
béföldelni	beföldelni
béhallatszott	behallatszott
béhordani	behordani
béhágjak	behágjak
béhítta	behívta
béhívja	behívja
béhívjátok	behívjátok
béhúzódtak	behúzódtak
béillettek	beillettek
béjelentenné	bejelentené
béjelenteti	bejelenteti
béjelentette	bejelentette
béjutott	bejutott
béjár	bejár
béjárja	bejárja
béjárjam	bejárjam
béjártuk	bejártuk
béjön	bejön
béjönnek	bejönnek
béjöttek	bejöttek
békaással	békással
békerekennek	bekerekednek
békerítik	bekerítik
békerül	bekerül
békerülnek	bekerülnek
békerűlt	bekerült
béketűrésibűl	béketűréséből
békivel	békével
békiáltott	bekiáltott
békopogtattak	bekopogtattak
békukkintott	bekukkantott
békárló	békáról
békéredzkedtek	bekéredzkedtek
békételenkedett	békétlenkedett
békételenkedj	békétlenkedj
békóba	béklyóba
békók	béklyók
békót	béklyót
béköltöznek	beköltöznek
béköltöztek	beköltöztek
békötte	bekötötte
békőnköt	békénket
bélegöngyölgeti	belegöngyölgeti
bélepni	belepni
bélovagolt	belovagolt
bélátta	belátta
bélésit	bélését
bélíp	belép
bélódittám	belódítám
bémasérozik	bemasírozik
bémegy	bemegy
bémegyek	bemegyek
bémegyen	bemegy
bémehetsz	bemehetsz
bémenne	bemenne
bémennek	bemennek
bémenni	bemenni
bément	bement
bémentek	bementek
bémenyek	bemegyek
bémenyen	bemegy
bémenyünk	bemegyünk
bémenünk	bemegyünk
bémutatta	bemutatta
béméne	bemene
bémönyön	bemegy
bénnák	bénák
bényitott	benyitott
bényújtotta	benyújtotta
bényúl	benyúl
béníztem	benéztem
bénőtte	benőtte
béomlik	beomlik
béreked	bereked
bérendezte	berendezte
bérendezése	berendezése
bérepül	berepül
bérepűlnek	berepülnek
bérességbő	bérességből
béresök	béresek/béresük
bészalad	beszalad
bészaladt	beszaladt
bészegődik	beszegődik
bészegődtek	beszegődtek
bészállnak	beszállnak
bészállunk	beszállunk
bészállásolnak	beszállásolnak
bészállítja	beszállítja
bészámolni	beszámolni
bészökik	beszökik
bészökött	beszökött
bésétáltak	besétáltak
bésütött	besütött
bétakarta	betakarta
bétanítva	betanítva
bétapasztja	betapasztja
bétarisnyált	betarisznyált
bétarisnyáltak	betarisznyáltak
bétaszította	betaszította
bételjesült	beteljesült
bételt	betelt
bétereli	betereli
béteszi	beteszi
bétett	betett
bétette	betette
bétettík	betették
bétér	befér
bétörni	betörni
bétört	betört
bétörém	betörém
bétötte	betette
béugratott	beugratott
béugrott	beugrott
bévalósodott	bevalósodott
bévetette	bevetette
bévette	bevette
bévettetett	bevettetett
bévettetlek	bevettetlek
bévették	bevették
bévetődik	bevetődik
bévezetik	bevezetik
bévezette	bevezette
béviszem	beviszem
béviteti	beviteti
bévitte	bevitte
bévitték	bevitték
bévittík	bevitték
bévivé	bevivé
bévonva	bevonva
bévágtatott	bevágtatott
béváltotta	beváltotta
bézáratod	bezáratod
béállanék	beállnék
béállott	beállt
béárulja	beárulja
béárulták	beárulták
béér	beér
béérhet	beérhet
béérkeztek	beérkeztek
béérnek	beérnek
béírkezett	beérkezett
béírt	beírt
béírtek	beértek
béírünk	beérünk
béült	beült
béültek	beültek
béültette	beültette
béültetve	beültetve
bëgrét	bögrét
bíka	béka
bíkabűrt	békabőr
bíkakirály	békakirály
bíkaországba	bikaországba
bíkimet	békémet
bíkit	békét
bíkák	békák
bíkát	békát
bíresek	béresek
bíri	biri
bírkózni	birkózni
bírkóznom	birkóznom
bírkóztak	birkóztak
bírkózásba	birkózásba
bírálkodjál	bíráskodj
bíróho	bíróhoz
bíróskodni	bíráskodni
bíróskodott	bíráskodott
bíz	biz
bízonyosan	bizonyosan
bíztatgatta	biztatgatta
bíztatják	biztatják
bíztos	biztos
bíztosan	biztosan
bíztosonn	biztosan
bódog	boldog
bódogságba	boldogságba
bódogul	boldogul
bódogulni	boldogulni
bódogult	boldogult
bótba	boltba
böcseőletësen	becsületesen
böcsös	becses
böcsülte	becsülete
bökanyarta	bekanyarintotta
bölcso	bölcső
bölcsőbűl	bölcsőből
böndőjére	bendőjére
böndőrepedésig	bendőrepedésig
böndőt	bendőt
búborék	buborék
búbosrúl	búbosról
búcsut	búcsút
búj	bújj
bújjeék	bújjék
bújjá	bújjál
búni	bújni
búslakodol	búslakodsz
búslalkodott	búslakodott
búsoljanak	búsuljanak
búsoljon	búsuljon
búsoljonak	búsuljanak
búsoljá	búsulj
búsulkodott	búslakodott
bútt	bújt
búva	bújva
búzaírt	búzáért
búzaírért	búzáért
búzájok	búzájuk
búzámot	búzámat
búzáér	búzáért
bücsültetlek	becsültetlek
büjtjit	böjtjét
bünteténye	büntetése
büntetényt	büntetést
büri	bőre
büssengeznyi	büssengezni
bütivel	bütüjével
bütön	böjtön
bőcsőbe	bölcsőbe
bőcsőjét	bölcsőjét
bőjtben	böjtben
bőjtin	böjtjén
bőjtjéig	böjtjéig
bőjtjén	böjtjén
bőjtöl	böjtöl
bőjtöljön	böjtöljön
bőribe	bőrébe
bőriben	bőrében
bőribő	bőréből
bőriből	bőréből
bőrit	bőrét
bőrivel	bőrével
bőriért	bőréért
bőrödbűl	bőrödből
bősígesenn	bőségesen
bűntetleneket	büntetleneket
bűntetést	büntetés
bűr	bőr
bűrt	bőrt
bűrödbűl	bőrödből
california-t	californiát
cargo-bázis	cargobázis
cecilia	cecília
cedulán	cédulán
cefetű	cefetül
cigán	cigány
cigánlegén	cigánylegény
cigánnak	cigánynak
cigánpurdé	cigánypurdé
cikkázik	cikázik
cikrát	szikrát
cimborájáho	cimborájához
cipőjit	cipőjét
cipőköt	cipőket
cipőtül	cipőtől
cipőtűl	cipőtől
citroen	citroën
cl	el
compaq-ot	compaqot
constantai	constanţai
credianstalt	creditanstalt
credintanstalt	creditanstalt
creditansalt	creditanstalt
csali-mese	csalimese
csalló-közi	csallóközi
családbúl	családból
családomot	családomat
csapdáho	csapdához
csapnyi	csapni
csat	csak
csattok	csatok
cselekëttem	cselekedtem
cseleködd	cselekedd
cseleködött	cselekedett
cselédimnek	cselédeimnek
cselédinek	cselédének
cselédjitől	cselédjétől
cselédszërzeőbe	cselédszerzőbe
cselédöt	cselédet
csemegélni	csemegézni
csemetít	csemetét
csemnek	csennek
csendessen	csendesen
csendüll	csendül
csendőrökvel	csendőrökkel
csengőjök	csengőjük
csepnek	csípnek
csereg-csattog	csörög-csattog
cseregni	csörögni
cserepben	cserépben
cserepbëgrét	cserépbögrét
cserepen	cserépen
cseresnye	cseresznye
cseresznyéér	cseresznyéért
cserfamakkval	cserfamakkal
cserfáná	cserfánál
cseréjünk	cseréljünk
cseréljőnk	cseréljünk
cserélli	cseréli
csholni	csaholni
csibájuk	csibéjük
csicsija	csicsíja
csicsomálja	cicomázza
csihipuhi	csihi-puhi
csihult	csiholt
csihánbó	csihánból
csihé-puhé	csihi-puhi
csik	csík
csikaja	csikója
csikaján	csikóján
csikajára	csikójára
csikaját	csikóját
csikajával	csikójával
csikó-tojás	csikótojás
csikó-tojást	csikótojást
csikókodol	csikókodsz
csillagokbul	csillagokból
csillagoktúl	csillagoktól
csillagzásbul	csillagzásból
csillapúl	csillapul
csinlt	csinált
csinyt	csínyt
csinyájjo	csinálja
csinyának	csinálnak
csinyányi	csinálni
csinyász	csinálsz
csinyát	csinált
csinájak	csináljak
csinájj	csinálj
csinájja	csinálja
csinájjanak	csináljanak
csináljonak	csináljanak
csináljónk	csináljunk
csinállyon	csináljon
csinálmik	csinálnak
csinálniok	csinálniuk
csinálnyi	csinálni
csinának	csinálnak
csinányi	csinálni
csinát	csinált
csinátam	csináltam
csip-kártyák	chipkártyák
csipdes	csípdes
csipdosgattak	csipdesgettek
csipkebokorho	csipkebokorhoz
csipkebukor	csipkebokor
csipkebukorra	csipkebokorra
csipkebukrot	csipkebokrot
csipës	csípés
csipőjükbe	cipőjükbe
csirkezuzát	csirkezúzát
csirké	csirke
csizmadiárúl	csizmadiáról
csizmákot	csizmákat
csizsma	csizma
csizsmábó	csizmából
csizsmát	csizmát
csolnakba	csónakba
csomagga	csomaggal
csomaócskát	csomócskát
csontokbúl	csontokból
csopak-ajánlátra	csopak-ajánlatra
csorbídd	csorbítsd
csorbíjja	csorbítja
csubbanásommal	csobbanásommal
csubogott	csobogott
csucsorodjík	csucsorodjon
csucsáig	csúcsáig
csunya	csúnya
csunyán	csúnyán
csuppanásommal	csobbanásommal
csuszó	csúszó
csvargatta	csavargatta
csáltál	csináltál
csánj	csinálj
csánjon	csináljon
csánni	csenni
csánnyanak	csenjenek
csántunk	csentünk
csáttot	csatot
csépölni	csépelni
csépölnivalóbul	csépelnivalóból
csëppencsék	cseppentsék
csëppet	cseppet
csërmelybe	csemelybe
csík-toplicán	csíktapolca
csínos	csinos
csínyji	csínyjei
csípogja	csipogja
csírke	csirke
csókolnyi	csókolni
csónakbúl	csónakból
csöndéröket	csöndéreket
csöndösen	csöndesen
csöngetyü	csengettyű
csöppek	cseppek
csöppeket	cseppeket
csört	csőrt
csötlött-botlott	csetlett-botlott
csúfolódol	csúfolódsz
csúfó	csúful
csúkják	csukják
csútakokat	csutakokat
csüggyit	csüdjét
csülkit	csülkét
csürkebecsinált	csirkebecsinált
csürkebecsináltnak	csirkebecsináltnak
csődörcsikaja	csődörcsikója
csőstől	csőstül
czepelje	cipelje
czigány	cigány
czigány-legények	cigánylegények
czigány-utczára	cigányutcára
czigányok	cigányok
czimere	címere
czipelje	cipelje
czipócska	cipócska
czizmadia	csizmadia
czizmába	csizmába
czélozó	célozó
célből	célból
cípőjébe	cipőjébe
cók-mókját	cókmókját
daa-nak	daanak
daa-ról	daaról
daewoo-ba	daewooba
dagodott	dagadott
daktorok	doktorok
danuónak	danolnak
danuóva	danolva
darázst	darazsat
de.	de
debrecenyi	debreceni
debreczenben	debrecenben
debreczenyben	debrecenben
debreczenyi	debreceni
dehabzsolta	behabzsolta
derekaig	derekáig
derekul	derékül
derik	derék
derékam	derekam
derékába	derekába
derík	derék
deríkon	derékon
deszkahasidékokon	deszkahasadékokon
deszkábúl	deszkából
deébe	délben
dicsekegyik	dicsekedik
dicsërik	dicsérik
dicsírte	dicsérte
dicsőségösön	dicsőségesen
dijat	díjat
dijákok	diákok
dindár	dandár
dinomdánomnak	dínomdánomnak
dinynyeje	dinnyéje
diribdarab	dirib-darab
diribdarabokra	dirib-darabokra
diribdarabra	dirib-darabra
diszitenek	díszítenek
