# surface form lemma pos 
# multiple values are separated by |
# empty lines and lines starting with # are being ignored 

u.v.m.	u.v.m.
uvm.	uvm.
v.a.	v.a.
vgl.	vgl.
vllt.	vllt.
v.l.n.r.	v.l.n.r.
vlt.	vlt.
Vol.	Vol.
wiss.	wiss.
Univ.	Univ.
z.B.	z.B.
z.b.	z.b.
z.Bsp.	z.Bsp.
z.T.	z.T.
z.Z.	z.Z.
zzgl.	zzgl.
z.Zt.	z.Zt.

# popular latin abbreviations
vs.	vs.
adv.	adv.
Chr.	Chr.
A.C.	A.C.
A.D.	A.D.
e.g.	e.g.
i.e.	i.e.
al.	al.
p.a.	p.a.
P.S.	P.S.
q.e.d.	q.e.d.
R.I.P.	R.I.P.
etc.	etc.
incl.	incl.
ca.	ca.
n.Chr.	n.Chr.
p.s.	p.s.
v.Chr.	v.Chr.

# popular english abbreviations
D.C.	D.C.
N.Y.	N.Y.
N.Y.C.	N.Y.C.
U.S.	U.S.
U.S.A.	U.S.A.
L.A.	L.A.
U.S.S.	U.S.S.

# dates & time
Jan.	Jan.
Feb.	Feb.
Mrz.	Mrz.
Mär.	Mär.
Apr.	Apr.
Jun.	Jun.
Jul.	Jul.
Aug.	Aug.
Sep.	Sep.
Sept.	Sept.
Okt.	Okt.
Nov.	Nov.
Dez.	Dez.
Mo.	Mo.
Di.	Di.
Mi.	Mi.
Do.	Do.
Fr.	Fr.
Sa.	Sa.
So.	So.
Std.	Std.
Jh.	Jh.
Jhd.	Jhd.

# numbers
Tsd.	Tsd.
Mio.	Mio.
Mrd.	Mrd.

# countries & languages
engl.	engl.
frz.	frz.
lat.	lat.
österr.	österr.

# smileys
:)	:)
<3	<3
;)	;)
(:	(:
:(	:(
-_-	-_-
=)	=)
:/	:/
:>	:>
;-)	;-)
:Y	:Y
:P	:P
:-P	:-P
:3	:3
=3	=3
xD	xD
^_^	^_^
=]	=]
=D	=D
<333	<333
:))	:))
:0	:0
-__-	-__-
xDD	xDD
o_o	o_o
o_O	o_O
V_V	V_V
=[[	=[[
<33	<33
;p	;p
;D	;D
;-p	;-p
;(	;(
:p	:p
:]	:]
:O	:O
:-/	:-/
:-)	:-)
:(((	:(((
:((	:((
:')	:')
(^_^)	(^_^)
(=	(=
o.O	o.O

# single letters
a.	a.
b.	b.
c.	c.
d.	d.
e.	e.
f.	f.
g.	g.
h.	h.
i.	i.
j.	j.
k.	k.
l.	l.
m.	m.
n.	n.
o.	o.
p.	p.
q.	q.
r.	r.
s.	s.
t.	t.
u.	u.
v.	v.
w.	w.
x.	x.
y.	y.
z.	z.
ä.	ä.
ö.	ö.
ü.	ü.
